,SK_ID_CURR,TARGET,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_TYPE_SUITE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,OWN_CAR_AGE,FLAG_MOBIL,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,WEEKDAY_APPR_PROCESS_START,HOUR_APPR_PROCESS_START,REG_REGION_NOT_LIVE_REGION,REG_REGION_NOT_WORK_REGION,LIVE_REGION_NOT_WORK_REGION,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,ORGANIZATION_TYPE,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,APARTMENTS_AVG,BASEMENTAREA_AVG,YEARS_BEGINEXPLUATATION_AVG,YEARS_BUILD_AVG,COMMONAREA_AVG,ELEVATORS_AVG,ENTRANCES_AVG,FLOORSMAX_AVG,FLOORSMIN_AVG,LANDAREA_AVG,LIVINGAPARTMENTS_AVG,LIVINGAREA_AVG,NONLIVINGAPARTMENTS_AVG,NONLIVINGAREA_AVG,APARTMENTS_MODE,BASEMENTAREA_MODE,YEARS_BEGINEXPLUATATION_MODE,YEARS_BUILD_MODE,COMMONAREA_MODE,ELEVATORS_MODE,ENTRANCES_MODE,FLOORSMAX_MODE,FLOORSMIN_MODE,LANDAREA_MODE,LIVINGAPARTMENTS_MODE,LIVINGAREA_MODE,NONLIVINGAPARTMENTS_MODE,NONLIVINGAREA_MODE,APARTMENTS_MEDI,BASEMENTAREA_MEDI,YEARS_BEGINEXPLUATATION_MEDI,YEARS_BUILD_MEDI,COMMONAREA_MEDI,ELEVATORS_MEDI,ENTRANCES_MEDI,FLOORSMAX_MEDI,FLOORSMIN_MEDI,LANDAREA_MEDI,LIVINGAPARTMENTS_MEDI,LIVINGAREA_MEDI,NONLIVINGAPARTMENTS_MEDI,NONLIVINGAREA_MEDI,FONDKAPREMONT_MODE,HOUSETYPE_MODE,TOTALAREA_MODE,WALLSMATERIAL_MODE,EMERGENCYSTATE_MODE,OBS_30_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,FLAG_DOCUMENT_2,FLAG_DOCUMENT_3,FLAG_DOCUMENT_4,FLAG_DOCUMENT_5,FLAG_DOCUMENT_6,FLAG_DOCUMENT_7,FLAG_DOCUMENT_8,FLAG_DOCUMENT_9,FLAG_DOCUMENT_10,FLAG_DOCUMENT_11,FLAG_DOCUMENT_12,FLAG_DOCUMENT_13,FLAG_DOCUMENT_14,FLAG_DOCUMENT_15,FLAG_DOCUMENT_16,FLAG_DOCUMENT_17,FLAG_DOCUMENT_18,FLAG_DOCUMENT_19,FLAG_DOCUMENT_20,FLAG_DOCUMENT_21,AMT_REQ_CREDIT_BUREAU_HOUR,AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_YEAR
173178,300688,0,Revolving loans,M,N,Y,1,157500.0,247500.0,12375.0,247500.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,0.019101,-16386,-840,-450.0,-5460,,1,1,0,1,0,0,,3.0,2,2,FRIDAY,18,0,0,0,0,0,0,Government,0.5612084472769451,0.7439204162358851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-170.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2.0,4.0
16164,118850,0,Cash loans,M,Y,Y,1,202500.0,472500.0,46030.5,454500.0,Unaccompanied,Commercial associate,Higher education,Married,House / apartment,0.030755,-11882,-3291,-6036.0,-4244,3.0,1,1,0,1,0,0,Drivers,3.0,2,2,SUNDAY,14,0,0,0,0,1,1,Construction,,0.4853165583266562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-780.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,5.0
255055,395129,0,Cash loans,F,N,Y,0,121500.0,104256.0,12370.5,90000.0,Unaccompanied,Working,Secondary / secondary special,Civil marriage,House / apartment,0.00823,-14334,-1414,-8446.0,-4059,,1,1,1,1,0,0,,2.0,2,2,WEDNESDAY,12,0,0,0,0,0,0,Business Entity Type 3,0.2700825189489618,0.5771100070084679,0.8245949709919925,,,0.9871,,,,,0.3333,,,,0.1538,,0.0534,,,0.9871,,,,,0.3333,,,,0.1602,,0.0565,,,0.9871,,,,,0.3333,,,,0.1566,,0.0545,,,0.1215,Panel,No,0.0,0.0,0.0,0.0,-706.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,1.0
226579,362454,0,Cash loans,M,Y,N,1,135000.0,1161000.0,37453.5,1161000.0,Family,Working,Secondary / secondary special,Married,House / apartment,0.018209,-14890,-2880,-8232.0,-1055,14.0,1,1,1,1,1,0,Managers,3.0,3,3,MONDAY,8,0,0,0,0,0,0,Business Entity Type 2,0.5431645159662696,0.6110027949776761,0.3572932680336494,0.0825,0.0818,0.9811,,,0.0,0.1379,0.1667,,0.0489,,0.0661,,0.0,0.084,0.0849,0.9767,,,0.0,0.1379,0.1667,,0.05,,0.0523,,0.0,0.0833,0.0818,0.9811,,,0.0,0.1379,0.1667,,0.0498,,0.0673,,0.0,,block of flats,0.0604,Panel,No,0.0,0.0,0.0,0.0,-690.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,2.0
305964,454496,0,Cash loans,M,Y,N,0,99000.0,485640.0,33799.5,450000.0,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,0.010006,-23484,365243,-3457.0,-4870,7.0,1,0,0,1,1,0,,2.0,2,2,MONDAY,12,0,0,0,0,0,0,XNA,0.7637755951706241,0.6261391266705854,0.8027454758994178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-1589.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4.0
167546,294226,0,Cash loans,F,N,N,0,180000.0,331632.0,35316.0,315000.0,"Spouse, partner",Commercial associate,Higher education,Married,House / apartment,0.04622,-8754,-139,-8754.0,-1417,,1,1,0,1,0,0,Sales staff,2.0,1,1,MONDAY,18,0,0,0,1,0,1,Trade: type 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-290.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0
255660,395830,0,Cash loans,F,N,N,3,112500.0,1125000.0,32895.0,1125000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.02461,-14934,-2398,-5275.0,-5287,,1,1,1,1,1,0,Sales staff,5.0,2,2,FRIDAY,18,0,0,0,0,0,0,Self-employed,0.8155362391475428,0.3227765263853609,0.8193176922872417,0.0031,,0.9732,0.6328,0.0,0.0,0.1034,0.0,0.0417,0.0,0.0025,0.0019,0.0,0.0,0.0032,,0.9732,0.6472,0.0,0.0,0.1034,0.0,0.0417,0.0,0.0028,0.002,0.0,0.0,0.0031,,0.9732,0.6377,0.0,0.0,0.1034,0.0,0.0417,0.0,0.0026,0.002,0.0,0.0,reg oper account,block of flats,0.0015,Wooden,No,5.0,0.0,5.0,0.0,-1353.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0
184491,313849,0,Cash loans,F,N,Y,0,135000.0,679500.0,19998.0,679500.0,Unaccompanied,Commercial associate,Secondary / secondary special,Separated,House / apartment,0.011703,-15900,-8728,-3788.0,-4330,,1,1,0,1,1,0,Laborers,1.0,2,2,FRIDAY,18,0,0,0,0,0,0,Housing,,0.6827607239398755,0.6956219298394389,0.0773,0.0,0.9781,,,0.0,0.069,0.1667,,0.0556,,0.0675,,0.0008,0.0788,0.0,0.9782,,,0.0,0.069,0.1667,,0.0569,,0.0703,,0.0009,0.0781,0.0,0.9781,,,0.0,0.069,0.1667,,0.0566,,0.0687,,0.0008,,block of flats,0.061,"Stone, brick",No,7.0,0.0,6.0,0.0,-1921.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,1.0
305200,453604,0,Cash loans,M,Y,Y,0,180000.0,991944.0,29133.0,828000.0,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,0.025164,-21771,365243,-6148.0,-4202,7.0,1,0,0,1,0,0,,2.0,2,2,SUNDAY,9,0,0,0,0,0,0,XNA,,0.4806096005852281,0.0005272652387098,0.0062,,0.9692,,,0.0,0.0345,0.0417,,,,0.0069,,0.0026,0.0063,,0.9692,,,0.0,0.0345,0.0417,,,,0.0071,,0.0028,0.0062,,0.9692,,,0.0,0.0345,0.0417,,,,0.0069999999999999,,0.0027,,block of flats,0.006,Others,No,20.0,0.0,20.0,0.0,-302.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2.0,4.0
63794,173971,0,Cash loans,M,N,N,0,157500.0,728460.0,74641.5,675000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.020246,-13886,-5605,-11843.0,-343,,1,1,0,1,1,0,Laborers,2.0,3,3,WEDNESDAY,10,0,0,0,0,0,0,Industry: type 5,0.4474128727882917,0.4525828136310299,0.3589512285783967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,0.0,-2719.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
92070,206913,0,Cash loans,F,N,N,0,67500.0,760225.5,32337.0,679500.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,0.022625,-17208,-146,-2639.0,-742,,1,1,0,1,0,0,Sales staff,2.0,2,2,THURSDAY,10,0,0,0,0,0,0,Business Entity Type 3,,0.5862989338891661,,0.0247,0.0,0.9722,0.6192,0.0038,0.0,0.1034,0.0417,0.0833,0.0641,0.0202,0.0238,0.0,0.0096,0.0252,0.0,0.9722,0.6341,0.0038,0.0,0.1034,0.0417,0.0833,0.0655,0.022,0.0248,0.0,0.0101,0.025,0.0,0.9722,0.6243,0.0038,0.0,0.1034,0.0417,0.0833,0.0652,0.0205,0.0242,0.0,0.0098,reg oper account,block of flats,0.0208,"Stone, brick",Yes,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
128396,248935,0,Cash loans,M,Y,N,0,315000.0,774000.0,28813.5,774000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,0.028663,-18836,-677,-2835.0,-12,20.0,1,1,0,1,0,0,Drivers,2.0,2,2,SATURDAY,8,0,0,0,0,1,1,Business Entity Type 3,,0.6068681535221965,0.1285043773724039,0.1134,0.0787,0.9806,0.7348,0.0304,0.0,0.1969,0.1667,0.2083,0.0903,0.0921,0.087,0.0022,0.001,0.0735,0.0398,0.9811,0.7517,0.0078,0.0,0.2759,0.1667,0.2083,0.0398,0.0643,0.0524,0.0039,0.0,0.1249,0.076,0.9811,0.7451,0.0175,0.0,0.2069,0.1667,0.2083,0.1044,0.1026,0.0897,0.0039,0.0,reg oper account,block of flats,0.0562,"Stone, brick",No,0.0,0.0,0.0,0.0,-294.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0
184700,314088,0,Cash loans,F,N,Y,0,90000.0,225000.0,17905.5,225000.0,Unaccompanied,Working,Secondary / secondary special,Civil marriage,House / apartment,0.026392,-19905,-270,-5736.0,-3429,,1,1,0,1,0,0,,2.0,2,2,THURSDAY,17,0,0,0,0,0,0,Industry: type 11,,0.6930044628878442,0.7352209993926424,0.2515,0.2692,0.9821,,,0.0,0.5517,0.1667,,0.23,,0.2317,,0.0,0.2563,0.2794,0.9821,,,0.0,0.5517,0.1667,,0.2352,,0.2414,,0.0,0.254,0.2692,0.9821,,,0.0,0.5517,0.1667,,0.234,,0.2358,,0.0,,block of flats,0.2132,Panel,No,2.0,2.0,2.0,2.0,-1361.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.0
116171,234723,0,Cash loans,F,N,Y,1,225000.0,679500.0,27076.5,679500.0,Unaccompanied,Working,Secondary / secondary special,Civil marriage,House / apartment,0.007114,-14395,-1748,-4642.0,-5019,,1,1,0,1,0,1,Private service staff,3.0,2,2,FRIDAY,15,0,0,0,0,0,0,Self-employed,0.5716477562022585,0.2293893144164584,0.5620604831738043,0.0928,0.0941,0.9781,0.7008,0.0133,0.0,0.2069,0.1667,0.2083,0.0953,,0.0892,,0.0,0.0945,0.0977,0.9782,0.7125,0.0134,0.0,0.2069,0.1667,0.2083,0.0975,,0.0929,,0.0,0.0937,0.0941,0.9781,0.7048,0.0134,0.0,0.2069,0.1667,0.2083,0.0969,,0.0908,,0.0,reg oper account,block of flats,0.0702,Panel,No,5.0,0.0,5.0,0.0,-757.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.0
151861,276026,0,Cash loans,M,Y,Y,0,225000.0,1072809.0,31365.0,895500.0,Family,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,0.022625,-21617,-2572,-4764.0,-2157,4.0,1,1,1,1,1,0,Drivers,1.0,2,2,SATURDAY,9,0,0,0,0,0,0,Self-employed,,0.584860808685387,0.6380435278721609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-796.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.0
100248,216378,0,Cash loans,M,Y,N,0,112500.0,675000.0,34465.5,675000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.018801,-15822,-1975,-9710.0,-4457,23.0,1,1,0,1,1,0,Drivers,2.0,2,2,SATURDAY,16,0,0,0,0,1,1,Business Entity Type 3,,0.3780148072052063,0.3344541255096772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0,3.0,0.0,-715.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,5.0
